device_id,timestamp,lat,lon,ang,distance_m,speed,rpm,fuel_consumption,engine_temperature,Maintenance
veh_1,2025-12-08T20:12:24.151064+00:00,-75.59291914822884,6.244177361082873,317.14434462996286,0.0,0.0,0,0.6,70.0,0
veh_2,2025-12-08T20:12:24.151064+00:00,-75.58687320701064,6.282547626250227,241.04295472608194,0.0,0.0,0,0.6,70.0,0
veh_3,2025-12-08T20:12:24.151064+00:00,-75.57453350800795,6.282289876899903,263.0435367348433,0.0,0.0,0,0.6,70.0,0
veh_4,2025-12-08T20:12:24.159180+00:00,-75.5589264099068,6.273630856399151,98.72587754820505,0.0,0.0,0,0.6,70.0,0
veh_5,2025-12-08T20:12:24.161256+00:00,-75.57227658341873,6.281975620385808,199.32727177474268,0.0,0.0,0,0.6,70.0,0
veh_6,2025-12-08T20:12:24.161256+00:00,-75.59726310090856,6.27841758227896,218.09760830773018,0.0,0.0,0,0.6,70.0,0
veh_7,2025-12-08T20:12:24.161256+00:00,-75.59473179883497,6.244589935349005,317.65571361395513,0.0,0.0,0,0.6,70.0,0
veh_8,2025-12-08T20:12:24.161256+00:00,-75.5607269447322,6.2379477207095935,41.21218424918655,0.0,0.0,0,0.6,70.0,0
veh_9,2025-12-08T20:12:24.161256+00:00,-75.55811661378215,6.252230978989015,212.9659215124403,0.0,0.0,0,0.6,70.0,0
veh_10,2025-12-08T20:12:24.161256+00:00,-75.57904206656731,6.282316412095941,103.78311210532584,0.0,0.0,0,0.6,70.0,0
veh_11,2025-12-08T20:12:24.161256+00:00,-75.6022821404591,6.2613507513022055,336.3432538551305,0.0,0.0,0,0.6,70.0,0
veh_12,2025-12-08T20:12:24.161256+00:00,-75.55683418498663,6.28190461490823,182.35883853648414,0.0,0.0,0,0.6,70.0,0
veh_13,2025-12-08T20:12:24.169522+00:00,-75.5550105049136,6.267931815452272,189.7345738036253,0.0,0.0,0,0.6,70.0,0
veh_14,2025-12-08T20:12:24.169522+00:00,-75.56007504619637,6.262572063994356,280.3181708962624,0.0,0.0,0,0.6,70.0,0
veh_17,2025-12-08T20:12:24.171570+00:00,-75.56108398535041,6.2607492393539435,198.84403510065474,0.0,0.0,0,0.6,70.0,0
veh_18,2025-12-08T20:12:24.171570+00:00,-75.56216960404649,6.256182052584623,212.50883734424605,0.0,0.0,0,0.6,70.0,0
veh_19,2025-12-08T20:12:24.171570+00:00,-75.56197044998832,6.256490307771374,213.25184794606125,0.0,0.0,0,0.6,70.0,0
veh_20,2025-12-08T20:12:24.171570+00:00,-75.56250101833834,6.253330108428354,200.06278349891556,0.0,0.0,0,0.6,70.0,0
veh_1,2025-12-08T20:12:34.241255+00:00,-75.59347499426765,6.2441323338560855,204.48416594072958,97.57899289408326,18.73,1123,2.08,79.36,0
veh_2,2025-12-08T20:12:34.241255+00:00,-75.58672604592903,6.281507185143521,153.14725516750917,142.89433261787894,40.96,2457,4.65,90.48,0
veh_3,2025-12-08T20:12:34.241255+00:00,-75.57609675564305,6.281893799401576,250.9572379746492,180.09672149732705,49.0,2939,5.8,94.5,0
veh_4,2025-12-08T20:12:34.241255+00:00,-75.55809596948093,6.273151048528296,192.1363033477041,133.51343660072175,27.99,1679,3.04,83.99,0
veh_5,2025-12-08T20:12:34.249316+00:00,-75.57243409133507,6.280480783919013,187.12775944472108,165.99409145755322,25.54,1532,2.77,82.77,0
veh_6,2025-12-08T20:12:34.249316+00:00,-75.59839320448978,6.277539979403644,245.43923252393844,161.22120160456933,15.75,944,1.8,77.87,0
veh_7,2025-12-08T20:12:34.251367+00:00,-75.59583735403774,6.2458025196802,317.7033276489767,181.45352662509725,20.34,1220,2.23,80.17,0
veh_8,2025-12-08T20:12:34.251367+00:00,-75.56081767031861,6.238847584230744,312.574431686198,133.86854482115967,43.61,2616,5.02,91.81,0
veh_9,2025-12-08T20:12:34.251367+00:00,-75.55848516090846,6.251671503092192,213.96432942321863,74.09892271066471,0.0,0,0.6,70.0,0
veh_10,2025-12-08T20:12:34.251367+00:00,-75.57882005908378,6.281264359051084,192.09428058859652,154.18045016644336,51.45,3087,6.17,95.73,0
veh_11,2025-12-08T20:12:34.251367+00:00,-75.60148044526413,6.2626188788085235,49.43379634810488,190.44087487491777,63.28,3796,8.13,101.64,0
veh_12,2025-12-08T20:12:34.251367+00:00,-75.55689485097864,6.280163216426224,182.9026413209241,192.82275021616368,65.41,3924,8.51,102.71,0
veh_13,2025-12-08T20:12:34.259496+00:00,-75.55509692157581,6.267116991398818,184.67093400077135,90.59084358351305,18.51,1110,2.06,79.26,0
veh_14,2025-12-08T20:12:34.259496+00:00,-75.56074792955775,6.262026326524157,190.12895073721324,132.67551098210242,42.18,2530,4.82,91.09,0
veh_15,2025-12-08T20:12:34.261541+00:00,-75.58687528281656,6.282513403532582,61.04489789907662,60.6129893460013,26.11,1566,2.83,83.05,0
veh_16,2025-12-08T20:12:34.261541+00:00,-75.5605100694989,6.23856538972756,312.574431686198,87.70483789163643,31.24,1874,3.41,85.62,0
veh_17,2025-12-08T20:12:34.261541+00:00,-75.56192586542119,6.259325851334974,212.25910256532717,183.25532148610796,62.78,3767,8.04,101.39,0
veh_18,2025-12-08T20:12:34.261541+00:00,-75.56242866995747,6.2559401120916345,260.66443866419155,41.46868068816168,17.85,1070,1.99,78.92,0
veh_19,2025-12-08T20:12:34.261541+00:00,-75.56226636904358,6.256029753655234,212.5088373442424,60.50671115842991,11.22,673,1.41,75.61,0
veh_20,2025-12-08T20:12:34.261541+00:00,-75.56250101833834,6.253330108428354,200.06278349891556,0.0,0.0,0,0.6,70.0,0
veh_1,2025-12-08T20:12:44.401081+00:00,-75.59369749358264,6.243582184362004,198.07321983941694,163.1189003725793,0.0,0,0.6,70.0,0
veh_2,2025-12-08T20:12:44.403082+00:00,-75.58739752494884,6.280053668249034,206.30302962177745,324.4929518874337,0.05,3,0.6,70.03,0
veh_3,2025-12-08T20:12:44.404081+00:00,-75.57736456403046,6.2804837291674875,218.55123757014556,392.78377147596746,48.01,2880,3.25,94.0,0
veh_4,2025-12-08T20:12:44.406082+00:00,-75.55830325765822,6.271894750242552,189.99167434499134,274.29480212508736,4.12,246,0.66,72.06,0
veh_5,2025-12-08T20:12:44.407081+00:00,-75.57277338691796,6.278326696065199,140.60979600364146,413.09692734134944,25.11,1506,1.47,82.55,0
